Question_No,Question,Acceptance,isPremium,Difficulty,Question_Link,Solution
1, Two Sum,53.80%,FALSE,Easy,https://leetcode.com/problems/two-sum/description,https://leetcode.com/problems/two-sum/solutions
2, Add Two Numbers,44.10%,FALSE,Medium,https://leetcode.com/problems/add-two-numbers/description,https://leetcode.com/problems/add-two-numbers/solutions
3, Longest Substring Without Repeating Characters,35.40%,FALSE,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/description,https://leetcode.com/problems/longest-substring-without-repeating-characters/solutions
4, Median of Two Sorted Arrays,41.50%,FALSE,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/description,https://leetcode.com/problems/median-of-two-sorted-arrays/solutions
5, Longest Palindromic Substring,34.40%,FALSE,Medium,https://leetcode.com/problems/longest-palindromic-substring/description,https://leetcode.com/problems/longest-palindromic-substring/solutions
6, Zigzag Conversion,49.30%,FALSE,Medium,https://leetcode.com/problems/zigzag-conversion/description,https://leetcode.com/problems/zigzag-conversion/solutions
7, Reverse Integer,29.20%,FALSE,Medium,https://leetcode.com/problems/reverse-integer/description,https://leetcode.com/problems/reverse-integer/solutions
8, String to Integer (atoi),17.90%,FALSE,Medium,https://leetcode.com/problems/string-to-integer-(atoi)/description,https://leetcode.com/problems/string-to-integer-(atoi)/solutions
9, Palindrome Number,57.50%,FALSE,Easy,https://leetcode.com/problems/palindrome-number/description,https://leetcode.com/problems/palindrome-number/solutions
10, Regular Expression Matching,28.40%,FALSE,Hard,https://leetcode.com/problems/regular-expression-matching/description,https://leetcode.com/problems/regular-expression-matching/solutions
11, Container With Most Water,56.20%,FALSE,Medium,https://leetcode.com/problems/container-with-most-water/description,https://leetcode.com/problems/container-with-most-water/solutions
12, Integer to Roman,66.30%,FALSE,Medium,https://leetcode.com/problems/integer-to-roman/description,https://leetcode.com/problems/integer-to-roman/solutions
13, Roman to Integer,62.70%,FALSE,Easy,https://leetcode.com/problems/roman-to-integer/description,https://leetcode.com/problems/roman-to-integer/solutions
14, Longest Common Prefix,43.80%,FALSE,Easy,https://leetcode.com/problems/longest-common-prefix/description,https://leetcode.com/problems/longest-common-prefix/solutions
15, 3Sum,35.40%,FALSE,Medium,https://leetcode.com/problems/3sum/description,https://leetcode.com/problems/3sum/solutions
16, 3Sum Closest,46.10%,FALSE,Medium,https://leetcode.com/problems/3sum-closest/description,https://leetcode.com/problems/3sum-closest/solutions
17, Letter Combinations of a Phone Number,61.70%,FALSE,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solutions
18, 4Sum,36.70%,FALSE,Medium,https://leetcode.com/problems/4sum/description,https://leetcode.com/problems/4sum/solutions
19, Remove Nth Node From End of List,46.70%,FALSE,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description,https://leetcode.com/problems/remove-nth-node-from-end-of-list/solutions
20, Valid Parentheses,41.00%,FALSE,Easy,https://leetcode.com/problems/valid-parentheses/description,https://leetcode.com/problems/valid-parentheses/solutions
21, Merge Two Sorted Lists,65.30%,FALSE,Easy,https://leetcode.com/problems/merge-two-sorted-lists/description,https://leetcode.com/problems/merge-two-sorted-lists/solutions
22, Generate Parentheses,75.50%,FALSE,Medium,https://leetcode.com/problems/generate-parentheses/description,https://leetcode.com/problems/generate-parentheses/solutions
23, Merge k Sorted Lists,54.10%,FALSE,Hard,https://leetcode.com/problems/merge-k-sorted-lists/description,https://leetcode.com/problems/merge-k-sorted-lists/solutions
24, Swap Nodes in Pairs,65.30%,FALSE,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/description,https://leetcode.com/problems/swap-nodes-in-pairs/solutions
25, Reverse Nodes in k-Group,60.40%,FALSE,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/description,https://leetcode.com/problems/reverse-nodes-in-k-group/solutions
26, Remove Duplicates from Sorted Array,57.60%,FALSE,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions
27, Remove Element,58.20%,FALSE,Easy,https://leetcode.com/problems/remove-element/description,https://leetcode.com/problems/remove-element/solutions
28, Find the Index of the First Occurrence in a String,43.40%,FALSE,Easy,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/solutions
29, Divide Two Integers,17.80%,FALSE,Medium,https://leetcode.com/problems/divide-two-integers/description,https://leetcode.com/problems/divide-two-integers/solutions
30, Substring with Concatenation of All Words,32.50%,FALSE,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description,https://leetcode.com/problems/substring-with-concatenation-of-all-words/solutions
31, Next Permutation,41.10%,FALSE,Medium,https://leetcode.com/problems/next-permutation/description,https://leetcode.com/problems/next-permutation/solutions
32, Longest Valid Parentheses,34.80%,FALSE,Hard,https://leetcode.com/problems/longest-valid-parentheses/description,https://leetcode.com/problems/longest-valid-parentheses/solutions
33, Search in Rotated Sorted Array,41.50%,FALSE,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/description,https://leetcode.com/problems/search-in-rotated-sorted-array/solutions
34, Find First and Last Position of Element in Sorted Array,45.20%,FALSE,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solutions
35, Search Insert Position,47.20%,FALSE,Easy,https://leetcode.com/problems/search-insert-position/description,https://leetcode.com/problems/search-insert-position/solutions
36, Valid Sudoku,60.60%,FALSE,Medium,https://leetcode.com/problems/valid-sudoku/description,https://leetcode.com/problems/valid-sudoku/solutions
37, Sudoku Solver,62.80%,FALSE,Hard,https://leetcode.com/problems/sudoku-solver/description,https://leetcode.com/problems/sudoku-solver/solutions
38, Count and Say,56.40%,FALSE,Medium,https://leetcode.com/problems/count-and-say/description,https://leetcode.com/problems/count-and-say/solutions
39, Combination Sum,72.70%,FALSE,Medium,https://leetcode.com/problems/combination-sum/description,https://leetcode.com/problems/combination-sum/solutions
40, Combination Sum II,56.40%,FALSE,Medium,https://leetcode.com/problems/combination-sum-ii/description,https://leetcode.com/problems/combination-sum-ii/solutions
41, First Missing Positive,40.00%,FALSE,Hard,https://leetcode.com/problems/first-missing-positive/description,https://leetcode.com/problems/first-missing-positive/solutions
42, Trapping Rain Water,63.10%,FALSE,Hard,https://leetcode.com/problems/trapping-rain-water/description,https://leetcode.com/problems/trapping-rain-water/solutions
43, Multiply Strings,41.00%,FALSE,Medium,https://leetcode.com/problems/multiply-strings/description,https://leetcode.com/problems/multiply-strings/solutions
44, Wildcard Matching,28.60%,FALSE,Hard,https://leetcode.com/problems/wildcard-matching/description,https://leetcode.com/problems/wildcard-matching/solutions
